fold,n_train_normal_groups,n_hard_normal_groups,hard_fraction,hardness_cutoff,median_resnet_hard,median_resnet_other,median_densenet_hard,median_densenet_other
0,976,244,0.25,0.7159672466734903,0.01022027898579835,6.997336458880454e-05,0.0231992872431874,0.00027710066933650003
1,975,244,0.25025641025641027,0.7074795081967213,0.014751635026186649,0.0001244578743353,0.0187243605032563,0.0001563261612318
2,975,244,0.25025641025641027,0.7223360655737705,0.01526384381577365,0.0001304415200138,0.015157850459218001,0.0001022090800688
3,975,244,0.25025641025641027,0.7141393442622951,0.010656985454261251,9.052539098775014e-05,0.01902357954531905,0.0001412047859048
4,975,244,0.25025641025641027,0.7085040983606558,0.0074720461852848,5.899488314753398e-05,0.02136784791946405,0.0001084819232346
